cell,npcs,npcs_actual,scan_cap,time_scale,tier,player_bots,t1_workers,max_speed,completed,wall_clock_s,ticks,tick_p50_ms,tick_p95_ms,tick_p99_ms,tick_max_ms,tick_overruns,scan_per_tick,band_migrations,queue_p50,queue_p99,queue_dropped,queue_avg_wait_ticks,cache_hit_rate,cold_buckets,individual_turnover,t1_calls,t2_calls,llm_avg_latency_ticks,llm_failures,prompt_tokens,cost_usd,prompt_cache_hit_rate,commands_per_s,commands_dropped,events_per_s,sequence_gaps,gen0,gen1,gen2,bytes_per_tick,heap_mb,gpu_util_percent,gpu_vram_mb
n500-x600-none-b0-w2-max,500,500,-1,600,none,0,2,1,1,8.614,1440,0.068,0.529,1.538,3.929,0,0,0,250,250,250,0.00,0.4539,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,28453.0,0,27355.3,0,4,3,2,0,76.3,5.9,794.0
n500-x600-none-b20-w2-max,500,500,-1,600,none,20,2,1,1,0.234,1440,0.024,0.041,0.060,0.604,0,56,32036,499,500,50,0.00,0.4547,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,1042208.2,0,1238313.5,0,2,1,1,0,93.7,4.0,792.0
n1000-x600-none-b20-w2-max,1000,1000,-1,600,none,20,2,1,1,0.379,1440,0.050,0.084,0.108,0.192,0,104,58959,998,1000,94,0.00,0.4629,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,1282288.5,0,1493262.3,0,1,1,1,0,111.1,7.0,794.0
n2500-x600-none-b20-w2-max,2500,2500,-1,600,none,20,2,1,1,0.868,1440,0.095,0.168,0.211,1.521,0,150,91926,2223,2442,338,0.00,0.4701,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,1385367.5,0,1550549.3,0,2,1,1,0,128.8,5.0,794.0
n5000-x600-none-b20-w2-max,5000,5000,-1,600,none,20,2,1,1,1.542,1440,0.172,0.348,0.901,3.819,0,150,92160,3847,4096,7152,0.00,0.4841,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,1567443.1,904,1733292.0,0,1,1,0,0,135.7,7.0,792.0
n10000-x600-none-b20-w2-max,10000,5000,-1,600,none,20,2,1,1,1.418,1440,0.163,0.372,0.730,1.752,0,150,92160,3895,4096,7816,0.00,0.4839,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,1699369.5,904,1876018.9,0,1,1,1,0,152.4,6.0,792.0
n5000-x60-none-b20-w2-max,5000,5000,-1,60,none,20,2,1,1,6.003,14400,0.123,0.206,0.256,0.593,0,150,921600,4096,4096,155759,0.00,0.4569,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,801735.4,904,1120290.4,0,2,1,1,0,188.7,8.1,808.0
n5000-x600-none-b100-w2-max,5000,5000,-1,600,none,100,2,1,1,2.043,1440,0.155,0.283,0.384,0.580,0,150,67667,3816,4062,1472,0.00,0.4834,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,1199255.8,904,1202946.4,0,1,0,0,0,174.5,5.5,794.0
n5000-x600-none-b20-w2-paced,5000,5000,-1,600,none,20,2,0,1,144.014,1440,0.629,2.024,2.526,3.697,0,150,92160,3868,4096,3753,0.00,0.4889,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,20706.6,904,22448.7,0,0,0,0,0,236.0,7.1,857.0
n500-x600-none-b20-w2-max-uncapped,500,500,0,600,none,20,2,1,1,0.849,1440,0.022,0.132,0.261,0.708,0,58,32457,499,500,49,0.00,0.4539,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,289703.1,0,343072.2,0,2,1,1,0,153.7,9.5,796.0
n1000-x600-none-b20-w2-max-uncapped,1000,1000,0,600,none,20,2,1,1,1.736,1440,0.063,0.360,0.577,1.216,0,98,60279,999,1000,63,0.00,0.4632,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,280166.7,0,325715.8,0,0,0,0,0,184.6,7.8,796.0
n2500-x600-none-b20-w2-max-uncapped,2500,2500,0,600,none,20,2,1,1,1.813,1440,0.102,0.341,1.141,2.917,0,279,91860,2490,2500,228,0.00,0.4690,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,671063.7,0,749966.8,0,0,0,0,0,234.3,10.2,807.0
n5000-x600-none-b20-w2-max-uncapped,5000,5000,0,600,none,20,2,1,1,6.405,1440,0.426,2.738,4.531,7.141,0,637,92160,4096,4096,63442,0.00,0.4836,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,377750.0,904,416778.7,0,2,1,1,0,151.7,8.2,814.0
n10000-x600-none-b20-w2-max-uncapped,10000,5000,0,600,none,20,2,1,1,6.882,1440,0.475,2.427,3.728,5.581,0,537,92160,4096,4096,62493,0.00,0.4838,2685,0.0000,0,0,0.00,0,0,0.000000,0.0000,347472.0,904,384240.5,0,0,0,0,0,207.0,5.8,832.0
