Engine,Model,Cache,PrefixTok,SuffixTok,OutTok,PrefillMs,DecodeMs,TotalMs,CachedTok,CostUsd
llamacpp-gemma3-4b,gemma-3-4b,on,4409,98,245,2682.1,3715.3,6397.3,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,101,241,228.3,3663.3,3891.6,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,94,258,230.2,3998.1,4228.2,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,102,360,286.4,5611.5,5897.9,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,101,192,236.6,2916.8,3153.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,102,263,229.2,4019.1,4248.3,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,96,419,244.1,6470.1,6714.2,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,95,229,226.8,3470.6,3697.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,101,277,240.2,4238.5,4478.7,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,96,158,233.8,2347.6,2581.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,100,278,252.5,4250.6,4503.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,96,196,232.5,2945.5,3177.9,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,96,202,237.7,3032.3,3270.0,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,101,241,244.2,3668.4,3912.5,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,97,195,253.0,2931.0,3184.0,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,93,248,249.3,3782.8,4032.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,97,229,229.0,3468.2,3697.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,99,197,236.0,2964.4,3200.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,96,224,235.0,3393.7,3628.6,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,97,229,249.0,3456.2,3705.2,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,108,197,244.1,2960.2,3204.3,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,86,244,241.4,3701.2,3942.6,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,98,228,225.9,3469.5,3695.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,102,197,230.4,2967.9,3198.3,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,86,284,231.2,4337.9,4569.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,96,184,245.1,2754.0,2999.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,103,244,236.5,3724.9,3961.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,102,225,235.7,3415.4,3651.2,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,92,213,230.4,3217.9,3448.3,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,on,4409,103,249,250.9,3783.8,4034.7,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4427,98,229,1524.8,3484.7,5009.5,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,101,226,1514.5,3415.5,4929.9,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,94,265,1566.0,4046.6,5612.7,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,102,412,1518.8,6368.1,7886.9,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,101,193,1520.5,2915.4,4435.9,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4429,102,271,1528.6,4148.5,5677.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,96,419,1535.5,6501.0,8036.5,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,95,229,1512.9,3486.1,4999.0,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,101,249,1515.7,3797.8,5313.5,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,96,161,1519.5,2395.0,3914.5,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4429,100,273,1530.1,4176.8,5706.9,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,96,200,1560.3,3011.5,4571.8,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,96,172,1587.3,2569.4,4156.7,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4429,101,469,1600.1,7369.0,8969.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,97,200,1527.9,3016.5,4544.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,93,209,1546.9,3168.2,4715.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,97,471,1531.4,7318.3,8849.8,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,99,200,1564.9,3014.7,4579.6,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4429,96,250,1528.2,3802.7,5330.9,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,97,449,1584.5,6972.6,8557.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,108,197,1576.4,2977.3,4553.7,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,86,243,1567.9,3704.0,5271.8,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,98,233,1549.3,3554.1,5103.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4429,102,197,1525.0,2981.0,4506.0,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,86,289,1537.5,4432.9,5970.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,96,208,1497.3,3153.5,4650.8,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4429,103,246,1544.3,3770.6,5314.9,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,102,493,1522.9,7698.2,9221.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,92,208,1545.8,3162.1,4707.9,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off,4430,103,228,1512.2,3473.7,4985.9,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4427,98,229,1549.8,3475.9,5025.7,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,101,228,253.0,3449.0,3702.0,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,94,284,250.5,4349.0,4599.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,102,203,234.0,3072.7,3306.7,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,101,192,241.9,2900.7,3142.6,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4429,102,287,230.7,4408.8,4639.6,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,96,257,258.3,3900.3,4158.6,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,95,227,245.2,3433.5,3678.7,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,101,259,249.2,3947.9,4197.2,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,96,158,236.1,2355.9,2592.1,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4429,100,278,235.3,4277.5,4512.8,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,96,196,229.4,2964.3,3193.7,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,96,219,237.3,3317.7,3555.0,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4429,101,241,263.7,3647.1,3910.8,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,97,195,230.1,2938.3,3168.4,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,93,277,245.4,4238.1,4483.5,0,0.000000
llamacpp-gemma3-4b,gemma-3-4b,off_tail,4430,97,226,236.9,3427.6,3664.6,0,0.000000
